note_id,original_id,printed_bar
n5064fe3bc6b53a62,n5064fe3bc6b53a62,1
nae6fec32be5a0499,nae6fec32be5a0499,1
n1d41d64271c37c34,n1d41d64271c37c34,1
ne681278aebc545bc,ne681278aebc545bc,1
nf9c36ed43c36a3c9,nf9c36ed43c36a3c9,1
n7c3a6023f31876e8,n7c3a6023f31876e8,1
n0492a10c66216e08,n0492a10c66216e08,1
n6e5ecca6ce2d78cb,n6e5ecca6ce2d78cb,1
n90444b7cc73bfa73,n90444b7cc73bfa73,1
n914245f2580b4d89,n914245f2580b4d89,1
n3307e3b4fb652962,n3307e3b4fb652962,2
n01e6b1552bcbd366,n01e6b1552bcbd366,2
nd260bb5483a7fee5,nd260bb5483a7fee5,2
n9dc7ea6a12092b33,n9dc7ea6a12092b33,2
nb5e20d607ebd9d72,nb5e20d607ebd9d72,2
n750b7a5588ab3db6,n750b7a5588ab3db6,2
n5b7cdfb52de4e931,n5b7cdfb52de4e931,2
na4e077740b5b068e,na4e077740b5b068e,2
nbd39e41640e59437,nbd39e41640e59437,2
ne323eaaa1b38bab9,ne323eaaa1b38bab9,2
n5ca3ed1786978c62,n5ca3ed1786978c62,2
n755ac5c42570da7d,n755ac5c42570da7d,2
n2dcad72939046a89,n2dcad72939046a89,2
n36c455a1b50c1015,n36c455a1b50c1015,2
n714ab8307dd69e96,n714ab8307dd69e96,2
n89f7bdbe69423181,n89f7bdbe69423181,2
nbbc47cfc29be7d07,nbbc47cfc29be7d07,3
ncddc0f3f3531757a,ncddc0f3f3531757a,3
nd1efa3ee9a457a15,nd1efa3ee9a457a15,3
n9f516640e439a0b6,n9f516640e439a0b6,3
nf1b980369a978c6c,nf1b980369a978c6c,3
nccbaba9842a11d08,nccbaba9842a11d08,3
n8d53bfbc7935dfd7,n8d53bfbc7935dfd7,3
n881d1f9bdee7d909,n881d1f9bdee7d909,3
n277703b6faab2817,n277703b6faab2817,3
nad433949a7d46829,nad433949a7d46829,3
n8a6aa94588ec063d,n8a6aa94588ec063d,3
nf28be27658133faa,nf28be27658133faa,3
nac19e3f21069bed2,nac19e3f21069bed2,3
n7e654cff449b6cf6,n7e654cff449b6cf6,3
nf125b7771bf02b0c,nf125b7771bf02b0c,4
nee4435fd0e66d507,nee4435fd0e66d507,4
n9ce9eee6e33382d0,n9ce9eee6e33382d0,4
nf5f4944c562e032c,nf5f4944c562e032c,4
n0e2e86cb7c0f02c7,n0e2e86cb7c0f02c7,4
ne622a04ff91547b0,ne622a04ff91547b0,4
nf4249c778da1475b,nf4249c778da1475b,4
nb3f0b21adc0fde12,nb3f0b21adc0fde12,4
n089f49de3e096d1e,n089f49de3e096d1e,4
ndb002cc0fcee09c7,ndb002cc0fcee09c7,4
n50d987ad69286808,n50d987ad69286808,4
necff1b4fbaf526f4,necff1b4fbaf526f4,4
n6ffbf99070734cca,n6ffbf99070734cca,4
n1b03f59f29b1135c,n1b03f59f29b1135c,4
nb1c2f20010d7e9eb,nb1c2f20010d7e9eb,4
n7951028019d2be00,n7951028019d2be00,4
n15d8509c7a71e444,n15d8509c7a71e444,4
nc50e81270c06cef1,nc50e81270c06cef1,4
n11e8d55ab3b4bfbc,n11e8d55ab3b4bfbc,5
n1ba9c388bf29792a,n1ba9c388bf29792a,5
n0a860a6189654d9a,n0a860a6189654d9a,5
nddb0d643ec555169,nddb0d643ec555169,5
nb4948127f442ed70,nb4948127f442ed70,5
n9029cb70ba2abf03,n9029cb70ba2abf03,5
ne291feb268162aee,ne291feb268162aee,5
nec308b3085a987ae,nec308b3085a987ae,5
n2e7266880edb2054,n2e7266880edb2054,5
naa668d9e2732538d,naa668d9e2732538d,5
n964082f3f5e1b5f9,n964082f3f5e1b5f9,5
n93c7f905953afcbd,n93c7f905953afcbd,5
nc02f9efbe2510d1c,nc02f9efbe2510d1c,5
